gene,virus_1,virus_2,n identities,count gaps as mismatches,n sites,percent_identity,virus_1_accession,virus_2_accession
ORF8,SARS-CoV-1,CoVZC45,269,no,344,78.198,AY278488.2,MG772933
ORF8,CoVZC45,SARS-CoV-1,269,no,344,78.198,MG772933,AY278488.2
ORF8,SARS-CoV-1,CoVZXC21,269,no,344,78.198,AY278488.2,MG772934
ORF8,CoVZXC21,SARS-CoV-1,269,no,344,78.198,MG772934,AY278488.2
ORF8,SARS-CoV-1,Rc-0319,260,no,350,74.286,AY278488.2,LC556375.1
ORF8,Rc-0319,SARS-CoV-1,260,no,350,74.286,LC556375.1,AY278488.2
ORF8,SARS-CoV-1,PrC31,274,no,344,79.651,AY278488.2,MW703458
ORF8,PrC31,SARS-CoV-1,274,no,344,79.651,MW703458,AY278488.2
ORF8,SARS-CoV-1,RpYN06,275,no,344,79.942,AY278488.2,MZ081381
ORF8,RpYN06,SARS-CoV-1,275,no,344,79.942,MZ081381,AY278488.2
ORF8,SARS-CoV-1,RmYN05,188,no,336,55.952,AY278488.2,MZ081376.1
ORF8,RmYN05,SARS-CoV-1,188,no,336,55.952,MZ081376.1,AY278488.2
ORF8,SARS-CoV-1,RmYN08,188,no,336,55.952,AY278488.2,MZ081378
ORF8,RmYN08,SARS-CoV-1,188,no,336,55.952,MZ081378,AY278488.2
ORF8,SARS-CoV-1,RsYN04,188,no,336,55.952,AY278488.2,MZ081380.1
ORF8,RsYN04,SARS-CoV-1,188,no,336,55.952,MZ081380.1,AY278488.2
ORF8,SARS-CoV-1,GX_PangolinP4L,271,no,343,79.009,AY278488.2,MT040333
ORF8,GX_PangolinP4L,SARS-CoV-1,271,no,343,79.009,MT040333,AY278488.2
ORF8,SARS-CoV-1,BANAL-20-52,271,no,344,78.779,AY278488.2,MZ937000.1
ORF8,BANAL-20-52,SARS-CoV-1,271,no,344,78.779,MZ937000.1,AY278488.2
ORF8,SARS-CoV-1,BANAL-20-236,274,no,344,79.651,AY278488.2,MZ937003.2
ORF8,BANAL-20-236,SARS-CoV-1,274,no,344,79.651,MZ937003.2,AY278488.2
ORF8,SARS-CoV-1,BANAL-20-247,283,no,340,83.235,AY278488.2,MZ937004.1
ORF8,BANAL-20-247,SARS-CoV-1,283,no,340,83.235,MZ937004.1,AY278488.2
ORF8,SARS-CoV-1,BANAL-20-116,283,no,340,83.235,AY278488.2,MZ937002.1
ORF8,BANAL-20-116,SARS-CoV-1,283,no,340,83.235,MZ937002.1,AY278488.2
ORF8,SARS-CoV-1,BANAL-20-103,275,no,344,79.942,AY278488.2,MZ937001.1
ORF8,BANAL-20-103,SARS-CoV-1,275,no,344,79.942,MZ937001.1,AY278488.2
ORF8,SARS-CoV-1,RaTG15,187,no,336,55.655,AY278488.2,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF8,RaTG15,SARS-CoV-1,187,no,336,55.655,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,AY278488.2
ORF8,SARS-CoV-1,RmYN02,282,no,340,82.941,AY278488.2,data/GISAID/EPI_ISL_412977.fasta
ORF8,RmYN02,SARS-CoV-1,282,no,340,82.941,data/GISAID/EPI_ISL_412977.fasta,AY278488.2
ORF8,SARS-CoV-1,RShSTT182,273,no,344,79.36,AY278488.2,data/GISAID/EPI_ISL_852604.fasta
ORF8,RShSTT182,SARS-CoV-1,273,no,344,79.36,data/GISAID/EPI_ISL_852604.fasta,AY278488.2
ORF8,SARS-CoV-1,RShSTT200,273,no,344,79.36,AY278488.2,data/GISAID/EPI_ISL_852605.fasta
ORF8,RShSTT200,SARS-CoV-1,273,no,344,79.36,data/GISAID/EPI_ISL_852605.fasta,AY278488.2
ORF8,SARS-CoV-1,GD_Pangolin,274,no,344,79.651,AY278488.2,data/GISAID/EPI_ISL_410721.fasta
ORF8,GD_Pangolin,SARS-CoV-1,274,no,344,79.651,data/GISAID/EPI_ISL_410721.fasta,AY278488.2
ORF8,RacCS271,RacCS271,353,no,353,100,MW251312,MW251312
ORF8,RacCS271,RacCS264,353,no,353,100,MW251312,MW251311
ORF8,RacCS264,RacCS271,353,no,353,100,MW251311,MW251312
ORF8,RacCS271,RacCS253,347,no,353,98.3,MW251312,MW251310
ORF8,RacCS253,RacCS271,347,no,353,98.3,MW251310,MW251312
ORF8,RacCS271,RacCS224,353,no,353,100,MW251312,MW251309
ORF8,RacCS224,RacCS271,353,no,353,100,MW251309,MW251312
ORF8,RacCS271,RacCS203,352,no,353,99.717,MW251312,MW251308
ORF8,RacCS203,RacCS271,352,no,353,99.717,MW251308,MW251312
ORF8,RacCS271,CoVZC45,318,no,353,90.085,MW251312,MG772933
ORF8,CoVZC45,RacCS271,318,no,353,90.085,MG772933,MW251312
ORF8,RacCS271,CoVZXC21,318,no,353,90.085,MW251312,MG772934
ORF8,CoVZXC21,RacCS271,318,no,353,90.085,MG772934,MW251312
ORF8,RacCS271,Rc-0319,239,no,344,69.477,MW251312,LC556375.1
ORF8,Rc-0319,RacCS271,239,no,344,69.477,LC556375.1,MW251312
ORF8,RacCS271,PrC31,328,no,353,92.918,MW251312,MW703458
ORF8,PrC31,RacCS271,328,no,353,92.918,MW703458,MW251312
ORF8,RacCS271,RpYN06,328,no,353,92.918,MW251312,MZ081381
ORF8,RpYN06,RacCS271,328,no,353,92.918,MZ081381,MW251312
ORF8,RacCS271,RmYN05,198,no,342,57.895,MW251312,MZ081376.1
ORF8,RmYN05,RacCS271,198,no,342,57.895,MZ081376.1,MW251312
ORF8,RacCS271,RmYN08,198,no,342,57.895,MW251312,MZ081378
ORF8,RmYN08,RacCS271,198,no,342,57.895,MZ081378,MW251312
ORF8,RacCS271,RsYN04,198,no,342,57.895,MW251312,MZ081380.1
ORF8,RsYN04,RacCS271,198,no,342,57.895,MZ081380.1,MW251312
ORF8,RacCS271,GX_PangolinP4L,301,no,352,85.511,MW251312,MT040333
ORF8,GX_PangolinP4L,RacCS271,301,no,352,85.511,MT040333,MW251312
ORF8,RacCS271,BANAL-20-52,325,no,353,92.068,MW251312,MZ937000.1
ORF8,BANAL-20-52,RacCS271,325,no,353,92.068,MZ937000.1,MW251312
ORF8,RacCS271,BANAL-20-236,329,no,353,93.201,MW251312,MZ937003.2
ORF8,BANAL-20-236,RacCS271,329,no,353,93.201,MZ937003.2,MW251312
ORF8,RacCS271,BANAL-20-247,289,no,344,84.012,MW251312,MZ937004.1
ORF8,BANAL-20-247,RacCS271,289,no,344,84.012,MZ937004.1,MW251312
ORF8,RacCS271,BANAL-20-116,289,no,344,84.012,MW251312,MZ937002.1
ORF8,BANAL-20-116,RacCS271,289,no,344,84.012,MZ937002.1,MW251312
ORF8,RacCS271,BANAL-20-103,320,no,353,90.652,MW251312,MZ937001.1
ORF8,BANAL-20-103,RacCS271,320,no,353,90.652,MZ937001.1,MW251312
ORF8,RacCS271,RaTG15,199,no,342,58.187,MW251312,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF8,RaTG15,RacCS271,199,no,342,58.187,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MW251312
ORF8,RacCS271,RmYN02,289,no,344,84.012,MW251312,data/GISAID/EPI_ISL_412977.fasta
ORF8,RmYN02,RacCS271,289,no,344,84.012,data/GISAID/EPI_ISL_412977.fasta,MW251312
ORF8,RacCS271,RShSTT182,327,no,353,92.635,MW251312,data/GISAID/EPI_ISL_852604.fasta
ORF8,RShSTT182,RacCS271,327,no,353,92.635,data/GISAID/EPI_ISL_852604.fasta,MW251312
ORF8,RacCS271,RShSTT200,327,no,353,92.635,MW251312,data/GISAID/EPI_ISL_852605.fasta
ORF8,RShSTT200,RacCS271,327,no,353,92.635,data/GISAID/EPI_ISL_852605.fasta,MW251312
ORF8,RacCS271,GD_Pangolin,321,no,353,90.935,MW251312,data/GISAID/EPI_ISL_410721.fasta
ORF8,GD_Pangolin,RacCS271,321,no,353,90.935,data/GISAID/EPI_ISL_410721.fasta,MW251312
ORF8,RacCS264,RacCS264,353,no,353,100,MW251311,MW251311
ORF8,RacCS264,RacCS253,347,no,353,98.3,MW251311,MW251310
ORF8,RacCS253,RacCS264,347,no,353,98.3,MW251310,MW251311
ORF8,RacCS264,RacCS224,353,no,353,100,MW251311,MW251309
ORF8,RacCS224,RacCS264,353,no,353,100,MW251309,MW251311
ORF8,RacCS264,RacCS203,352,no,353,99.717,MW251311,MW251308
ORF8,RacCS203,RacCS264,352,no,353,99.717,MW251308,MW251311
ORF8,RacCS264,CoVZC45,318,no,353,90.085,MW251311,MG772933
ORF8,CoVZC45,RacCS264,318,no,353,90.085,MG772933,MW251311
ORF8,RacCS264,CoVZXC21,318,no,353,90.085,MW251311,MG772934
ORF8,CoVZXC21,RacCS264,318,no,353,90.085,MG772934,MW251311
ORF8,RacCS264,Rc-0319,239,no,344,69.477,MW251311,LC556375.1
ORF8,Rc-0319,RacCS264,239,no,344,69.477,LC556375.1,MW251311
ORF8,RacCS264,PrC31,328,no,353,92.918,MW251311,MW703458
ORF8,PrC31,RacCS264,328,no,353,92.918,MW703458,MW251311
ORF8,RacCS264,RpYN06,328,no,353,92.918,MW251311,MZ081381
ORF8,RpYN06,RacCS264,328,no,353,92.918,MZ081381,MW251311
ORF8,RacCS264,RmYN05,198,no,342,57.895,MW251311,MZ081376.1
ORF8,RmYN05,RacCS264,198,no,342,57.895,MZ081376.1,MW251311
ORF8,RacCS264,RmYN08,198,no,342,57.895,MW251311,MZ081378
ORF8,RmYN08,RacCS264,198,no,342,57.895,MZ081378,MW251311
ORF8,RacCS264,RsYN04,198,no,342,57.895,MW251311,MZ081380.1
ORF8,RsYN04,RacCS264,198,no,342,57.895,MZ081380.1,MW251311
ORF8,RacCS264,GX_PangolinP4L,301,no,352,85.511,MW251311,MT040333
ORF8,GX_PangolinP4L,RacCS264,301,no,352,85.511,MT040333,MW251311
ORF8,RacCS264,BANAL-20-52,325,no,353,92.068,MW251311,MZ937000.1
ORF8,BANAL-20-52,RacCS264,325,no,353,92.068,MZ937000.1,MW251311
ORF8,RacCS264,BANAL-20-236,329,no,353,93.201,MW251311,MZ937003.2
ORF8,BANAL-20-236,RacCS264,329,no,353,93.201,MZ937003.2,MW251311
ORF8,RacCS264,BANAL-20-247,289,no,344,84.012,MW251311,MZ937004.1
ORF8,BANAL-20-247,RacCS264,289,no,344,84.012,MZ937004.1,MW251311
ORF8,RacCS264,BANAL-20-116,289,no,344,84.012,MW251311,MZ937002.1
ORF8,BANAL-20-116,RacCS264,289,no,344,84.012,MZ937002.1,MW251311
ORF8,RacCS264,BANAL-20-103,320,no,353,90.652,MW251311,MZ937001.1
ORF8,BANAL-20-103,RacCS264,320,no,353,90.652,MZ937001.1,MW251311
ORF8,RacCS264,RaTG15,199,no,342,58.187,MW251311,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF8,RaTG15,RacCS264,199,no,342,58.187,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MW251311
ORF8,RacCS264,RmYN02,289,no,344,84.012,MW251311,data/GISAID/EPI_ISL_412977.fasta
ORF8,RmYN02,RacCS264,289,no,344,84.012,data/GISAID/EPI_ISL_412977.fasta,MW251311
ORF8,RacCS264,RShSTT182,327,no,353,92.635,MW251311,data/GISAID/EPI_ISL_852604.fasta
ORF8,RShSTT182,RacCS264,327,no,353,92.635,data/GISAID/EPI_ISL_852604.fasta,MW251311
ORF8,RacCS264,RShSTT200,327,no,353,92.635,MW251311,data/GISAID/EPI_ISL_852605.fasta
ORF8,RShSTT200,RacCS264,327,no,353,92.635,data/GISAID/EPI_ISL_852605.fasta,MW251311
ORF8,RacCS264,GD_Pangolin,321,no,353,90.935,MW251311,data/GISAID/EPI_ISL_410721.fasta
ORF8,GD_Pangolin,RacCS264,321,no,353,90.935,data/GISAID/EPI_ISL_410721.fasta,MW251311
ORF8,RacCS253,RacCS253,353,no,353,100,MW251310,MW251310
ORF8,RacCS253,RacCS224,347,no,353,98.3,MW251310,MW251309
ORF8,RacCS224,RacCS253,347,no,353,98.3,MW251309,MW251310
ORF8,RacCS253,RacCS203,348,no,353,98.584,MW251310,MW251308
ORF8,RacCS203,RacCS253,348,no,353,98.584,MW251308,MW251310
ORF8,RacCS253,CoVZC45,314,no,353,88.952,MW251310,MG772933
ORF8,CoVZC45,RacCS253,314,no,353,88.952,MG772933,MW251310
ORF8,RacCS253,CoVZXC21,314,no,353,88.952,MW251310,MG772934
ORF8,CoVZXC21,RacCS253,314,no,353,88.952,MG772934,MW251310
ORF8,RacCS253,Rc-0319,233,no,344,67.733,MW251310,LC556375.1
ORF8,Rc-0319,RacCS253,233,no,344,67.733,LC556375.1,MW251310
ORF8,RacCS253,PrC31,322,no,353,91.218,MW251310,MW703458
ORF8,PrC31,RacCS253,322,no,353,91.218,MW703458,MW251310
ORF8,RacCS253,RpYN06,322,no,353,91.218,MW251310,MZ081381
ORF8,RpYN06,RacCS253,322,no,353,91.218,MZ081381,MW251310
ORF8,RacCS253,RmYN05,195,no,342,57.018,MW251310,MZ081376.1
ORF8,RmYN05,RacCS253,195,no,342,57.018,MZ081376.1,MW251310
ORF8,RacCS253,RmYN08,195,no,342,57.018,MW251310,MZ081378
ORF8,RmYN08,RacCS253,195,no,342,57.018,MZ081378,MW251310
ORF8,RacCS253,RsYN04,195,no,342,57.018,MW251310,MZ081380.1
ORF8,RsYN04,RacCS253,195,no,342,57.018,MZ081380.1,MW251310
ORF8,RacCS253,GX_PangolinP4L,296,no,352,84.091,MW251310,MT040333
ORF8,GX_PangolinP4L,RacCS253,296,no,352,84.091,MT040333,MW251310
ORF8,RacCS253,BANAL-20-52,319,no,353,90.368,MW251310,MZ937000.1
ORF8,BANAL-20-52,RacCS253,319,no,353,90.368,MZ937000.1,MW251310
ORF8,RacCS253,BANAL-20-236,323,no,353,91.501,MW251310,MZ937003.2
ORF8,BANAL-20-236,RacCS253,323,no,353,91.501,MZ937003.2,MW251310
ORF8,RacCS253,BANAL-20-247,283,no,344,82.267,MW251310,MZ937004.1
ORF8,BANAL-20-247,RacCS253,283,no,344,82.267,MZ937004.1,MW251310
ORF8,RacCS253,BANAL-20-116,283,no,344,82.267,MW251310,MZ937002.1
ORF8,BANAL-20-116,RacCS253,283,no,344,82.267,MZ937002.1,MW251310
ORF8,RacCS253,BANAL-20-103,314,no,353,88.952,MW251310,MZ937001.1
ORF8,BANAL-20-103,RacCS253,314,no,353,88.952,MZ937001.1,MW251310
ORF8,RacCS253,RaTG15,196,no,342,57.31,MW251310,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF8,RaTG15,RacCS253,196,no,342,57.31,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MW251310
ORF8,RacCS253,RmYN02,283,no,344,82.267,MW251310,data/GISAID/EPI_ISL_412977.fasta
ORF8,RmYN02,RacCS253,283,no,344,82.267,data/GISAID/EPI_ISL_412977.fasta,MW251310
ORF8,RacCS253,RShSTT182,321,no,353,90.935,MW251310,data/GISAID/EPI_ISL_852604.fasta
ORF8,RShSTT182,RacCS253,321,no,353,90.935,data/GISAID/EPI_ISL_852604.fasta,MW251310
ORF8,RacCS253,RShSTT200,321,no,353,90.935,MW251310,data/GISAID/EPI_ISL_852605.fasta
ORF8,RShSTT200,RacCS253,321,no,353,90.935,data/GISAID/EPI_ISL_852605.fasta,MW251310
ORF8,RacCS253,GD_Pangolin,316,no,353,89.518,MW251310,data/GISAID/EPI_ISL_410721.fasta
ORF8,GD_Pangolin,RacCS253,316,no,353,89.518,data/GISAID/EPI_ISL_410721.fasta,MW251310
ORF8,RacCS224,RacCS224,353,no,353,100,MW251309,MW251309
ORF8,RacCS224,RacCS203,352,no,353,99.717,MW251309,MW251308
ORF8,RacCS203,RacCS224,352,no,353,99.717,MW251308,MW251309
ORF8,RacCS224,CoVZC45,318,no,353,90.085,MW251309,MG772933
ORF8,CoVZC45,RacCS224,318,no,353,90.085,MG772933,MW251309
ORF8,RacCS224,CoVZXC21,318,no,353,90.085,MW251309,MG772934
ORF8,CoVZXC21,RacCS224,318,no,353,90.085,MG772934,MW251309
ORF8,RacCS224,Rc-0319,239,no,344,69.477,MW251309,LC556375.1
ORF8,Rc-0319,RacCS224,239,no,344,69.477,LC556375.1,MW251309
ORF8,RacCS224,PrC31,328,no,353,92.918,MW251309,MW703458
ORF8,PrC31,RacCS224,328,no,353,92.918,MW703458,MW251309
ORF8,RacCS224,RpYN06,328,no,353,92.918,MW251309,MZ081381
ORF8,RpYN06,RacCS224,328,no,353,92.918,MZ081381,MW251309
ORF8,RacCS224,RmYN05,198,no,342,57.895,MW251309,MZ081376.1
ORF8,RmYN05,RacCS224,198,no,342,57.895,MZ081376.1,MW251309
ORF8,RacCS224,RmYN08,198,no,342,57.895,MW251309,MZ081378
ORF8,RmYN08,RacCS224,198,no,342,57.895,MZ081378,MW251309
ORF8,RacCS224,RsYN04,198,no,342,57.895,MW251309,MZ081380.1
ORF8,RsYN04,RacCS224,198,no,342,57.895,MZ081380.1,MW251309
ORF8,RacCS224,GX_PangolinP4L,301,no,352,85.511,MW251309,MT040333
ORF8,GX_PangolinP4L,RacCS224,301,no,352,85.511,MT040333,MW251309
ORF8,RacCS224,BANAL-20-52,325,no,353,92.068,MW251309,MZ937000.1
ORF8,BANAL-20-52,RacCS224,325,no,353,92.068,MZ937000.1,MW251309
ORF8,RacCS224,BANAL-20-236,329,no,353,93.201,MW251309,MZ937003.2
ORF8,BANAL-20-236,RacCS224,329,no,353,93.201,MZ937003.2,MW251309
ORF8,RacCS224,BANAL-20-247,289,no,344,84.012,MW251309,MZ937004.1
ORF8,BANAL-20-247,RacCS224,289,no,344,84.012,MZ937004.1,MW251309
ORF8,RacCS224,BANAL-20-116,289,no,344,84.012,MW251309,MZ937002.1
ORF8,BANAL-20-116,RacCS224,289,no,344,84.012,MZ937002.1,MW251309
ORF8,RacCS224,BANAL-20-103,320,no,353,90.652,MW251309,MZ937001.1
ORF8,BANAL-20-103,RacCS224,320,no,353,90.652,MZ937001.1,MW251309
ORF8,RacCS224,RaTG15,199,no,342,58.187,MW251309,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF8,RaTG15,RacCS224,199,no,342,58.187,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MW251309
ORF8,RacCS224,RmYN02,289,no,344,84.012,MW251309,data/GISAID/EPI_ISL_412977.fasta
ORF8,RmYN02,RacCS224,289,no,344,84.012,data/GISAID/EPI_ISL_412977.fasta,MW251309
ORF8,RacCS224,RShSTT182,327,no,353,92.635,MW251309,data/GISAID/EPI_ISL_852604.fasta
ORF8,RShSTT182,RacCS224,327,no,353,92.635,data/GISAID/EPI_ISL_852604.fasta,MW251309
ORF8,RacCS224,RShSTT200,327,no,353,92.635,MW251309,data/GISAID/EPI_ISL_852605.fasta
ORF8,RShSTT200,RacCS224,327,no,353,92.635,data/GISAID/EPI_ISL_852605.fasta,MW251309
ORF8,RacCS224,GD_Pangolin,321,no,353,90.935,MW251309,data/GISAID/EPI_ISL_410721.fasta
ORF8,GD_Pangolin,RacCS224,321,no,353,90.935,data/GISAID/EPI_ISL_410721.fasta,MW251309
ORF8,RacCS203,RacCS203,353,no,353,100,MW251308,MW251308
ORF8,RacCS203,CoVZC45,319,no,353,90.368,MW251308,MG772933
ORF8,CoVZC45,RacCS203,319,no,353,90.368,MG772933,MW251308
ORF8,RacCS203,CoVZXC21,319,no,353,90.368,MW251308,MG772934
ORF8,CoVZXC21,RacCS203,319,no,353,90.368,MG772934,MW251308
ORF8,RacCS203,Rc-0319,238,no,344,69.186,MW251308,LC556375.1
ORF8,Rc-0319,RacCS203,238,no,344,69.186,LC556375.1,MW251308
ORF8,RacCS203,PrC31,327,no,353,92.635,MW251308,MW703458
ORF8,PrC31,RacCS203,327,no,353,92.635,MW703458,MW251308
ORF8,RacCS203,RpYN06,327,no,353,92.635,MW251308,MZ081381
ORF8,RpYN06,RacCS203,327,no,353,92.635,MZ081381,MW251308
ORF8,RacCS203,RmYN05,199,no,342,58.187,MW251308,MZ081376.1
ORF8,RmYN05,RacCS203,199,no,342,58.187,MZ081376.1,MW251308
ORF8,RacCS203,RmYN08,199,no,342,58.187,MW251308,MZ081378
ORF8,RmYN08,RacCS203,199,no,342,58.187,MZ081378,MW251308
ORF8,RacCS203,RsYN04,199,no,342,58.187,MW251308,MZ081380.1
ORF8,RsYN04,RacCS203,199,no,342,58.187,MZ081380.1,MW251308
ORF8,RacCS203,GX_PangolinP4L,301,no,352,85.511,MW251308,MT040333
ORF8,GX_PangolinP4L,RacCS203,301,no,352,85.511,MT040333,MW251308
ORF8,RacCS203,BANAL-20-52,324,no,353,91.785,MW251308,MZ937000.1
ORF8,BANAL-20-52,RacCS203,324,no,353,91.785,MZ937000.1,MW251308
ORF8,RacCS203,BANAL-20-236,328,no,353,92.918,MW251308,MZ937003.2
ORF8,BANAL-20-236,RacCS203,328,no,353,92.918,MZ937003.2,MW251308
ORF8,RacCS203,BANAL-20-247,288,no,344,83.721,MW251308,MZ937004.1
ORF8,BANAL-20-247,RacCS203,288,no,344,83.721,MZ937004.1,MW251308
ORF8,RacCS203,BANAL-20-116,288,no,344,83.721,MW251308,MZ937002.1
ORF8,BANAL-20-116,RacCS203,288,no,344,83.721,MZ937002.1,MW251308
ORF8,RacCS203,BANAL-20-103,319,no,353,90.368,MW251308,MZ937001.1
ORF8,BANAL-20-103,RacCS203,319,no,353,90.368,MZ937001.1,MW251308
ORF8,RacCS203,RaTG15,200,no,342,58.48,MW251308,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF8,RaTG15,RacCS203,200,no,342,58.48,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MW251308
ORF8,RacCS203,RmYN02,288,no,344,83.721,MW251308,data/GISAID/EPI_ISL_412977.fasta
ORF8,RmYN02,RacCS203,288,no,344,83.721,data/GISAID/EPI_ISL_412977.fasta,MW251308
ORF8,RacCS203,RShSTT182,326,no,353,92.351,MW251308,data/GISAID/EPI_ISL_852604.fasta
ORF8,RShSTT182,RacCS203,326,no,353,92.351,data/GISAID/EPI_ISL_852604.fasta,MW251308
ORF8,RacCS203,RShSTT200,326,no,353,92.351,MW251308,data/GISAID/EPI_ISL_852605.fasta
ORF8,RShSTT200,RacCS203,326,no,353,92.351,data/GISAID/EPI_ISL_852605.fasta,MW251308
ORF8,RacCS203,GD_Pangolin,320,no,353,90.652,MW251308,data/GISAID/EPI_ISL_410721.fasta
ORF8,GD_Pangolin,RacCS203,320,no,353,90.652,data/GISAID/EPI_ISL_410721.fasta,MW251308
ORF8,CoVZC45,CoVZC45,353,no,353,100,MG772933,MG772933
ORF8,CoVZC45,CoVZXC21,350,no,353,99.15,MG772933,MG772934
ORF8,CoVZXC21,CoVZC45,350,no,353,99.15,MG772934,MG772933
ORF8,CoVZC45,Rc-0319,243,no,344,70.64,MG772933,LC556375.1
ORF8,Rc-0319,CoVZC45,243,no,344,70.64,LC556375.1,MG772933
ORF8,CoVZC45,PrC31,324,no,353,91.785,MG772933,MW703458
ORF8,PrC31,CoVZC45,324,no,353,91.785,MW703458,MG772933
ORF8,CoVZC45,RpYN06,326,no,353,92.351,MG772933,MZ081381
ORF8,RpYN06,CoVZC45,326,no,353,92.351,MZ081381,MG772933
ORF8,CoVZC45,RmYN05,201,no,342,58.772,MG772933,MZ081376.1
ORF8,RmYN05,CoVZC45,201,no,342,58.772,MZ081376.1,MG772933
ORF8,CoVZC45,RmYN08,201,no,342,58.772,MG772933,MZ081378
ORF8,RmYN08,CoVZC45,201,no,342,58.772,MZ081378,MG772933
ORF8,CoVZC45,RsYN04,201,no,342,58.772,MG772933,MZ081380.1
ORF8,RsYN04,CoVZC45,201,no,342,58.772,MZ081380.1,MG772933
ORF8,CoVZC45,GX_PangolinP4L,297,no,352,84.375,MG772933,MT040333
ORF8,GX_PangolinP4L,CoVZC45,297,no,352,84.375,MT040333,MG772933
ORF8,CoVZC45,BANAL-20-52,319,no,353,90.368,MG772933,MZ937000.1
ORF8,BANAL-20-52,CoVZC45,319,no,353,90.368,MZ937000.1,MG772933
ORF8,CoVZC45,BANAL-20-236,321,no,353,90.935,MG772933,MZ937003.2
ORF8,BANAL-20-236,CoVZC45,321,no,353,90.935,MZ937003.2,MG772933
ORF8,CoVZC45,BANAL-20-247,284,no,344,82.558,MG772933,MZ937004.1
ORF8,BANAL-20-247,CoVZC45,284,no,344,82.558,MZ937004.1,MG772933
ORF8,CoVZC45,BANAL-20-116,284,no,344,82.558,MG772933,MZ937002.1
ORF8,BANAL-20-116,CoVZC45,284,no,344,82.558,MZ937002.1,MG772933
ORF8,CoVZC45,BANAL-20-103,315,no,353,89.235,MG772933,MZ937001.1
ORF8,BANAL-20-103,CoVZC45,315,no,353,89.235,MZ937001.1,MG772933
ORF8,CoVZC45,RaTG15,204,no,342,59.649,MG772933,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz
ORF8,RaTG15,CoVZC45,204,no,342,59.649,https://download.cncb.ac.cn/gwh/Viruses/Severe_acute_respiratory_syndrome-related_coronavirus_7896_GWHBAUM01000000/GWHBAUM01000000.genome.fasta.gz,MG772933
ORF8,CoVZC45,RmYN02,286,no,344,83.14,MG772933,data/GISAID/EPI_ISL_412977.fasta
ORF8,RmYN02,CoVZC45,286,no,344,83.14,data/GISAID/EPI_ISL_412977.fasta,MG772933
ORF8,CoVZC45,RShSTT182,325,no,353,92.068,MG772933,data/GISAID/EPI_ISL_852604.fasta
ORF8,RShSTT182,CoVZC45,325,no,353,92.068,data/GISAID/EPI_ISL_852604.fasta,MG772933
ORF8,CoVZC45,RShSTT200,325,no,353,92.068,MG772933,data/GISAID/EPI_ISL_852605.fasta
ORF8,RShSTT200,CoVZC45,325,no,353,92.068,data/GISAID/EPI_ISL_852605.fasta,MG772933
ORF8,CoVZC45,GD_Pangolin,311,no,353,88.102,MG772933,data/GISAID/EPI_ISL_410721.fasta
ORF8,GD_Pangolin,CoVZC45,311,no,353,88.102,data/GISAID/EPI_ISL_410721.fasta,MG772933
ORF8,CoVZXC21,CoVZXC21,353,no,353,100,MG772934,MG772934
ORF8,CoVZXC21,Rc-0319,244,no,344,70.93,MG772934,LC556375.1
ORF8,Rc-0319,CoVZXC21,244,no,344,70.93,LC556375.1,MG772934
ORF8,CoVZXC21,PrC31,324,no,353,91.785,MG772934,MW703458
